RaceEthnicity,Neighborhood,1930,1940,1950,1960,1970,1980,1990,2000,2010,2012,2013,2014,2015,2016,2017
Total,Rogers Park,"  57,094 ","  60,565 ","  62,252 ","  56,888 ","  60,787 ","  55,525 ","  60,378 ","  63,484 ","  54,991 ","  57,559 ","  57,165 ","  55,053 ","  54,402 ","  55,500 ","55,062"
Asian,Rogers Park,,,,,"  1,620 ", N/A ,"  5,100 ","  4,063 ","  3,523 ","  3,876 ","  3,450 ","  3,526 ","  3,501 ","  3,205 ","2,792"
Black or African-American,Rogers Park,  128 ,  130 ,  108 ,  57 ,  762 ,"  5,095 ","  15,885 ","  18,767 ","  14,461 ","  15,662 ","  15,461 ","  14,325 ","  13,320 ","  14,455 ","14,521"
Persons of Spanish Language*,Rogers Park,,,,,"  2,802 ","  6,621 ","  12,005 ","  17,639 ","  13,433 ","  14,280 ","  14,189 ","  13,530 ","  13,135 ","  12,383 ","12,072"
White,Rogers Park,"  56,895 ","  60,370 ","  62,095 ","  56,503 ","  58,050 ","  38,699 ","  27,030 ","  20,170 ","  21,618 ","  21,819 ","  22,304 ","  22,094 ","  22,769 ","  23,604 ","23,754"
Percent Black,Rogers Park,  0 ,  0 ,  0 ,  0 ,  1 ,  9 ,  26 ,  30 ,  26 ,  27 ,  27 ,  26 ,  24 ,  26 ,  26 
Nonwhite, Rogers Park ,  199 ,  195 ,  157 ,  385 ,"  2,737 ","  16,826 ","  33,348 ","  43,314 ","  33,373 ","  35,740 ","  34,861 ","  32,959 ","  31,633 ","  31,896 ","  31,308 "
Total,West Ridge,"  39,759 ","  43,553 ","  47,930 ","  63,884 ","  65,432 ","  61,129 ","  65,374 ","  73,199 ","  71,942 ","  73,705 ","  73,305 ","  73,019 ","  72,211 ","  73,723 ","76,215"
Asian,West Ridge,,,,,  560 , N/A ,"  10,523 ","  16,347 ","  16,184 ","  17,078 ","  17,702 ","  17,097 ","  16,868 ","  16,641 ","17,200"
Black or African-American,West Ridge,  46 ,  111 ,  115 ,  81 ,  91 ,  436 ,"  2,045 ","  4,962 ","  8,015 ","  7,683 ","  7,529 ","  7,644 ","  8,110 ","  8,936 ","9,201"
Persons of Spanish Language*,West Ridge,,,,,"  1,129 ","  2,266 ","  5,398 ","  11,353 ","  14,701 ","  15,260 ","  13,994 ","  13,088 ","  12,672 ","  13,366 ","14,256"
White,West Ridge,"  39,701 ","  43,413 ","  47,786 ","  63,696 ","  64,690 ","  52,949 ","  47,098 ","  36,403 ","  30,706 ","  31,779 ","  31,630 ","  32,839 ","  31,978 ","  31,806 ","32,173"
Percent Black,West Ridge,  0 ,  0 ,  0 ,  0 ,  0 ,  1 ,  3 ,  7 ,  11 ,  10 ,  10 ,  10 ,  11 ,  12 ,  12 
Nonwhite, West Ridge ,  58 ,  140 ,  144 ,  188 ,  742 ,"  8,180 ","  18,276 ","  36,796 ","  41,236 ","  41,926 ","  41,675 ","  40,180 ","  40,233 ","  41,917 ","  44,042 "
Total,Uptown,"  67,699 ","  77,677 ","  84,462 ","  76,103 ","  74,838 ","  64,414 ","  63,839 ","  63,551 ","  56,362 ","  54,995 ","  54,449 ","  54,062 ","  55,137 ","  56,296 ","57,973"
Asian,Uptown,,,,,"  4,039 ", N/A ,"  8,859 ","  8,206 ","  6,414 ","  6,402 ","  5,803 ","  5,285 ","  4,854 ","  5,773 ","5,812"
Black or African-American,Uptown,  445 ,  426 ,  436 ,  370 ,"  3,045 ","  9,416 ","  15,134 ","  13,415 ","  11,275 ","  11,062 ","  10,796 ","  10,785 ","  11,445 ","  10,970 ","10,487"
Persons of Spanish Language*,Uptown,,,,,"  9,955 ","  14,984 ","  14,398 ","  12,674 ","  8,009 ","  7,010 ","  6,627 ","  6,964 ","  6,402 ","  7,468 ","8,324"
White,Uptown,"  66,932 ","  77,019 ","  82,868 ","  72,147 ","  65,644 ","  30,561 ","  24,743 ","  26,784 ","  29,098 ","  28,769 ","  29,312 ","  28,972 ","  30,371 ","  30,456 ","31,602"
Percent Black,Uptown,  1 ,  1 ,  1 ,  0 ,  4 ,  15 ,  24 ,  21 ,  20 ,  20 ,  20 ,  20 ,  21 ,  19 ,  18 
Nonwhite, Uptown ,  767 ,  658 ,"  1,594 ","  3,956 ","  9,194 ","  33,853 ","  39,096 ","  36,767 ","  27,264 ","  26,226 ","  25,137 ","  25,090 ","  24,766 ","  25,840 ","  26,371 "
Total,Lincoln Square,"  46,419 ","  47,179 ","  47,298 ","  49,850 ","  47,751 ","  43,954 ","  44,891 ","  44,574 ","  39,493 ","  38,622 ","  38,667 ","  39,547 ","  40,761 ","  41,483 ","41,715"
Asian,Lincoln Square,,,,,  732 , N/A ,"  5,980 ","  5,921 ","  4,399 ","  4,015 ","  4,513 ","  4,738 ","  4,480 ","  4,608 ","4,650"
Black or African-American,Lincoln Square,  11 ,  18 ,  26 ,  30 ,  57 ,  228 ,"  1,087 ","  1,342 ","  1,488 ","  1,764 ","  1,793 ","  1,525 ","  1,398 ","  1,394 ","1,594"
Persons of Spanish Language*,Lincoln Square,,,,,"  1,995 ","  4,973 ","  10,353 ","  11,831 ","  7,562 ","  7,483 ","  6,333 ","  6,236 ","  7,184 ","  7,284 ","6,978"
White,Lincoln Square,"  46,384 ","  47,137 ","  47,233 ","  49,544 ","  46,754 ","  33,991 ","  27,068 ","  23,716 ","  24,916 ","  24,332 ","  24,949 ","  25,865 ","  26,405 ","  26,554 ","26,782"
Percent Black,Lincoln Square,  0 ,  0 ,  0 ,  0 ,  0 ,  1 ,  2 ,  3 ,  4 ,  5 ,  5 ,  4 ,  3 ,  3 ,  4 
Nonwhite, Lincoln Square ,  35 ,  42 ,  65 ,  306 ,  997 ,"  9,963 ","  17,823 ","  20,858 ","  14,577 ","  14,290 ","  13,718 ","  13,682 ","  14,356 ","  14,929 ","  14,933 "
Total,North Center,"  47,651 ","  48,759 ","  47,787 ","  43,877 ","  39,410 ","  35,161 ","  33,010 ","  31,895 ","  31,867 ","  33,418 ","  34,534 ","  34,815 ","  34,623 ","  34,942 ","35,789"
Asian,North Center,,,,,  306 , N/A ,"  1,692 ","  1,324 ","  1,449 ","  1,392 ","  1,270 ","  1,313 ","  1,493 ","  1,563 ","1,791"
Black or African-American,North Center,  19 ,  19 ,  17 ,  48 ,  140 ,  390 ,  992 ,"  1,333 ",  738 ,  473 ,  639 ,  594 ,  674 ,  713 ,668
Persons of Spanish Language*,North Center,,,,,"  2,127 ","  6,684 ","  9,048 ","  6,496 ","  4,330 ","  4,376 ","  4,962 ","  4,817 ","  4,987 ","  4,378 ","4,192"
White,North Center,"  47,615 ","  48,726 ","  47,724 ","  43,622 ","  38,727 ","  26,185 ","  21,070 ","  21,938 ","  24,634 ","  26,348 ","  26,755 ","  27,043 ","  26,322 ","  26,996 ","27,568"
Percent Black,North Center,  0 ,  0 ,  0 ,  0 ,  0 ,  1 ,  3 ,  4 ,  2 ,  1 ,  2 ,  2 ,  2 ,  2 ,  2 
Nonwhite, North Center ,  36 ,  33 ,  63 ,  255 ,  683 ,"  8,976 ","  11,940 ","  9,957 ","  7,233 ","  7,070 ","  7,779 ","  7,772 ","  8,301 ","  7,946 ","  8,221 "
Total,Lake View,"  114,872 ","  121,455 ","  124,824 ","  118,764 ","  114,943 ","  97,519 ","  91,031 ","  94,817 ","  94,368 ","  96,539 ","  96,541 ","  97,968 ","  98,212 ","  99,876 ","100,470"
Asian,Lake View,,,,,"  4,313 ", N/A ,"  3,917 ","  5,143 ","  5,653 ","  6,661 ","  6,310 ","  6,639 ","  6,764 ","  6,735 ","6,441"
Black or African-American,Lake View,  198 ,  234 ,  247 ,  168 ,  892 ,"  6,558 ","  5,575 ","  4,193 ","  3,651 ","  3,567 ","  3,245 ","  3,430 ","  3,428 ","  3,320 ","3,475"
Persons of Spanish Language*,Lake View,,,,,"  15,504 ","  18,333 ","  12,932 ","  8,268 ","  7,198 ","  7,268 ","  7,294 ","  7,133 ","  7,125 ","  8,099 ","8,323"
White,Lake View,"  114,435 ","  120,983 ","  123,814 ","  115,018 ","  108,031 ","  66,037 ","  68,204 ","  75,363 ","  75,845 ","  77,037 ","  77,336 ","  78,123 ","  78,186 ","  78,859 ","79,382"
Percent Black,Lake View,  0 ,  0 ,  0 ,  0 ,  1 ,  7 ,  6 ,  4 ,  4 ,  4 ,  3 ,  4 ,  3 ,  3 ,  3 
Nonwhite, Lake View ,  437 ,  472 ,"  1,010 ","  3,746 ","  6,912 ","  31,482 ","  22,827 ","  19,454 ","  18,523 ","  19,502 ","  19,205 ","  19,845 ","  20,026 ","  21,017 ","  21,088 "
Total,Lincoln Park,"  97,873 ","  100,826 ","  102,396 ","  88,836 ","  67,804 ","  57,146 ","  61,092 ","  64,320 ","  64,116 ","  64,631 ","  65,889 ","  65,951 ","  66,959 ","  67,260 ","67,710"
Asian,Lincoln Park,,,,,"  2,254 ", N/A ,"  1,413 ","  2,325 ","  3,296 ","  3,712 ","  3,330 ","  3,633 ","  3,806 ","  4,243 ","4,653"
Black or African-American,Lincoln Park,  143 ,  132 ,  205 ,"  1,358 ","  4,904 ","  4,800 ","  3,590 ","  3,323 ","  2,753 ","  2,731 ","  2,766 ","  2,691 ","  3,204 ","  3,134 ","3,206"
Persons of Spanish Language*,Lincoln Park,,,,,"  9,880 ","  5,991 ","  3,981 ","  3,254 ","  3,571 ","  4,238 ","  4,665 ","  4,771 ","  4,418 ","  4,675 ","4,446"
White,Lincoln Park,"  97,393 ","  100,564 ","  100,543 ","  84,604 ","  59,759 ","  44,258 ","  51,968 ","  54,341 ","  53,138 ","  52,663 ","  53,706 ","  53,345 ","  53,676 ","  53,151 ","53,512"
Percent Black,Lincoln Park,  0 ,  0 ,  0 ,  2 ,  7 ,  8 ,  6 ,  5 ,  4 ,  4 ,  4 ,  4 ,  5 ,  5 ,  5 
Nonwhite, Lincoln Park ,  480 ,  262 ,"  1,853 ","  4,232 ","  8,045 ","  12,888 ","  9,124 ","  9,979 ","  10,978 ","  11,968 ","  12,183 ","  12,606 ","  13,283 ","  14,109 ","  14,198 "
,,,,,,,,,,,,,,,,
Total, Near North Side ,"  79,554 ","  76,954 ","  89,196 ","  75,509 ","  70,269 ","  67,167 ","  62,842 ","  72,811 ","  80,484 ","  80,516 ","  83,215 ","  84,305 ","  85,711 ","  86,343 ","88,893"
Asian, Near North Side ,,,,,  704 , N/A ,"  1,718 ","  4,434 ","  8,140 ","  8,731 ","  8,762 ","  9,031 ","  9,723 ","  9,906 ","9,982"
Black or African-American, Near North Side ,"  4,231 ","  5,158 ","  17,813 ","  23,114 ","  26,079 ","  21,812 ","  14,538 ","  13,884 ","  8,732 ","  7,625 ","  8,217 ","  7,908 ","  7,910 ","  7,376 ","8,049"
Persons of Spanish Language*, Near North Side ,,,,,"  2,227 ","  1,944 ","  1,856 ","  2,805 ","  3,974 ","  4,491 ","  4,853 ","  4,828 ","  4,530 ","  4,627 ","5,305"
White, Near North Side ,"  74,500 ","  71,003 ","  68,272 ","  50,569 ","  43,076 ","  42,090 ","  44,622 ","  50,397 ","  58,033 ","  57,777 ","  59,441 ","  60,299 ","  61,334 ","  62,243 ","63,507"
Percent Black, Near North Side ,  5 ,  7 ,  20 ,  31 ,  37 ,  32 ,  23 ,  19 ,  11 ,  9 ,  10 ,  9 ,  9 ,  9 ,  9 
Nonwhite, Near North Side ,"  5,054 ","  5,951 ","  20,924 ","  24,940 ","  27,193 ","  25,077 ","  18,220 ","  22,414 ","  22,451 ","  22,739 ","  23,774 ","  24,006 ","  24,377 ","  24,100 ","  25,386 "
Total,Edison Park,"  5,370 ","  5,999 ","  7,843 ","  12,568 ","  13,241 ","  12,457 ","  11,426 ","  11,259 ","  11,187 ","  11,135 ","  10,884 ","  10,993 ","  11,356 ","  11,150 ","11,753"
Asian,Edison Park,,,,,  25 , N/A ,  148 ,  200 ,  269 ,  242 ,  258 ,  218 ,  167 ,  241 ,314
Black or African-American,Edison Park,  4 ,,,,,,  3 ,  19 ,  29 ,  - ,,  117 ,  120 ,  148 ,194
Persons of Spanish Language*,Edison Park,,,,,  38 ,  120 ,  217 ,  463 ,  872 ,  500 ,  686 ,  857 ,"  1,063 ",  752 ,"1,205"
White,Edison Park,"  5,366 ","  5,997 ","  7,842 ","  12,565 ","  13,209 ","  12,236 ","  11,053 ","  10,503 ","  9,885 ","  10,265 ","  9,834 ","  9,701 ","  9,926 ","  9,893 ","9,734"
Percent Black,Edison Park,  0 ,  - ,  - ,  - ,  - ,  - ,  0 ,  0 ,  0 ,  - ,  - ,  1 ,  1 ,  1 ,  2 
Nonwhite, Edison Park ,  4 ,  2 ,  1 ,  3 ,  32 ,  221 ,  373 ,  756 ,"  1,302 ",  870 ,"  1,050 ","  1,292 ","  1,430 ","  1,257 ","  2,019 "
Total, Norwood Park ,"  14,408 ","  16,466 ","  26,798 ","  40,953 ","  41,827 ","  40,585 ","  37,719 ","  37,669 ","  37,023 ","  37,429 ","  36,988 ","  36,486 ","  36,083 ","  36,002 ","36,936"
Asian, Norwood Park ,,,,,  93 , N/A ,  704 ,"  1,216 ","  1,696 ","  1,706 ","  1,471 ","  1,354 ","  1,513 ","  1,170 ","1,222"
Black or African-American, Norwood Park ,  4 ,  4 ,  22 ,  12 ,  1 ,  7 ,  19 ,  332 ,  164 ,  311 ,  363 ,  343 ,  335 ,  169 ,165
Persons of Spanish Language*, Norwood Park ,,,,,  281 ,  390 ,"  1,005 ","  2,409 ","  4,442 ","  4,935 ","  5,419 ","  4,508 ","  4,272 ","  4,202 ","4,353"
White, Norwood Park ,"  14,402 ","  16,458 ","  26,759 ","  40,915 ","  41,710 ","  39,690 ","  35,947 ","  33,288 ","  30,157 ","  30,115 ","  29,171 ","  29,607 ","  29,164 ","  29,644 ","30,100"
Percent Black, Norwood Park ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  1 ,  0 ,  1 ,  1 ,  1 ,  1 ,  0 ,  0 
Nonwhite, Norwood Park ,  6 ,  8 ,  39 ,  38 ,  117 ,  895 ,"  1,772 ","  4,381 ","  6,866 ","  7,314 ","  7,817 ","  6,879 ","  6,919 ","  6,358 ","  6,836 "
Total,Jefferson Park,"  20,532 ","  21,537 ","  23,556 ","  27,494 ","  27,553 ","  24,583 ","  23,649 ","  25,859 ","  25,448 ","  26,771 ","  27,212 ","  26,975 ","  27,264 ","  26,755 ","26,808"
Asian,Jefferson Park,,,,,  45 , N/A ,  778 ,"  1,237 ","  2,256 ","  2,518 ","  2,689 ","  2,341 ","  2,444 ","  2,597 ","2,476"
Black or African-American,Jefferson Park,  2 ,  6 ,  8 ,  - ,  2 ,  5 ,  16 ,  81 ,  265 ,  369 ,  344 ,  340 ,  250 ,  274 ,236
Persons of Spanish Language*,Jefferson Park,,,,,  115 ,  395 ,"  1,041 ","  2,881 ","  4,927 ","  5,343 ","  5,682 ","  5,374 ","  6,218 ","  6,125 ","5,948"
White,Jefferson Park,"  20,522 ","  21,523 ","  23,538 ","  27,475 ","  27,494 ","  23,803 ","  21,762 ","  21,101 ","  17,475 ","  18,075 ","  18,061 ","  18,362 ","  17,761 ","  17,155 ","17,522"
Percent Black,Jefferson Park,  0 ,  0 ,  0 ,  0 ,  0 ,  3 ,  8 ,  18 ,  31 ,  32 ,  34 ,  32 ,  35 ,  36 ,  35 
Nonwhite, Jefferson Park ,  10 ,  14 ,  18 ,  19 ,  59 ,  780 ,"  1,887 ","  4,758 ","  7,973 ","  8,696 ","  9,151 ","  8,613 ","  9,503 ","  9,600 ","  9,286 "
Total,Forest Glen,"  4,065 ","  6,630 ","  12,189 ","  19,228 ","  20,531 ","  18,991 ","  17,655 ","  18,165 ","  18,508 ","  18,542 ","  18,710 ","  18,478 ","  18,437 ","  18,631 ","18,997"
Asian,Forest Glen,,,,,  90 , N/A ,"  1,054 ","  1,586 ","  1,989 ","  2,207 ","  2,356 ","  2,547 ","  2,470 ","  1,971 ","2,390"
Black or African-American,Forest Glen,  2 ,  13 ,  13 ,  6 ,  4 ,  11 ,  9 ,  71 ,  137 ,  300 ,  153 ,  31 ,  177 ,  169 ,188
Persons of Spanish Language*,Forest Glen,,,,,  82 ,  295 ,  583 ,"  1,389 ","  2,126 ","  2,408 ","  2,213 ","  2,357 ","  2,204 ","  2,439 ","2,612"
White,Forest Glen,"  4,058 ","  6,616 ","  12,173 ","  19,203 ","  20,419 ","  18,144 ","  15,992 ","  14,793 ","  13,815 ","  13,354 ","  13,734 ","  13,275 ","  13,242 ","  13,655 ","13,429"
Percent Black,Forest Glen,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  1 ,  2 ,  1 ,  0 ,  1 ,  1 ,  1 
Nonwhite, Forest Glen ,  7 ,  14 ,  16 ,  25 ,  112 ,  847 ,"  1,663 ","  3,372 ","  4,693 ","  5,188 ","  4,976 ","  5,203 ","  5,195 ","  4,976 ","  5,568 "
Total,North Park,"  11,052 ","  12,271 ","  15,291 ","  17,866 ","  16,732 ","  15,273 ","  16,236 ","  18,514 ","  17,931 ","  18,739 ","  19,218 ","  18,058 ","  18,442 ","  18,743 ","18,842"
Asian,North Park,,,,,  220 , N/A ,"  3,308 ","  4,415 ","  4,600 ","  5,178 ","  5,402 ","  4,359 ","  4,541 ","  5,121 ","4,703"
Black or African-American,North Park,  66 ,  149 ,  555 ,  517 ,  432 ,  136 ,  129 ,  452 ,  573 ,  314 ,  381 ,  531 ,  473 ,  448 ,541
Persons of Spanish Language*,North Park,,,,,  391 ,  846 ,"  1,481 ","  2,652 ","  3,224 ","  3,428 ","  3,457 ","  3,864 ","  3,632 ","  3,092 ","3,154"
White,North Park,"  10,951 ","  12,122 ","  14,706 ","  17,280 ","  16,036 ","  12,627 ","  11,267 ","  10,336 ","  8,847 ","  9,358 ","  9,531 ","  8,998 ","  9,358 ","  9,642 ","9,789"
Percent Black,North Park,  1 ,  1 ,  4 ,  3 ,  3 ,  1 ,  1 ,  2 ,  3 ,  2 ,  2 ,  3 ,  3 ,  2 ,  3 
Nonwhite, North Park ,  101 ,  149 ,  585 ,  586 ,  696 ,"  2,646 ","  4,969 ","  8,178 ","  9,084 ","  9,381 ","  9,687 ","  9,060 ","  9,084 ","  9,101 ","  9,053 "
Albany Park,,,,,,,,,,,,,,,,
Total,Albany Park,"  55,577 ","  56,692 ","  52,995 ","  49,450 ","  47,092 ","  46,075 ","  49,501 ","  57,655 ","  51,542 ","  53,897 ","  54,018 ","  52,930 ","  52,079 ","  51,575 ","51,992"
Asian,Albany Park,,,,,  875 , N/A ,"  11,470 ","  10,178 ","  7,430 ","  6,710 ","  7,324 ","  7,387 ","  8,275 ","  7,883 ","7,536"
Black or African-American,Albany Park,  46 ,  56 ,  48 ,  19 ,  30 ,  261 ,"  1,491 ","  1,907 ","  2,076 ","  2,177 ","  2,147 ","  2,017 ","  2,215 ","  2,337 ","2,401"
Persons of Spanish Language*,Albany Park,,,,,"  2,852 ","  9,074 ","  15,738 ","  26,741 ","  25,487 ","  28,257 ","  27,953 ","  26,892 ","  25,003 ","  24,892 ","24,927"
White,Albany Park,"  55,495 ","  56,593 ","  52,904 ","  49,250 ","  45,969 ","  29,014 ","  20,458 ","  15,866 ","  15,054 ","  15,844 ","  15,392 ","  15,421 ","  15,349 ","  14,932 ","15,608"
Percent Black,Albany Park,  0 ,  0 ,  0 ,  0 ,  0 ,  1 ,  3 ,  3 ,  4 ,  4 ,  4 ,  4 ,  4 ,  5 ,  5 
Nonwhite, Albany Park ,  82 ,  99 ,  91 ,  200 ,"  1,123 ","  17,061 ","  29,043 ","  41,789 ","  36,488 ","  38,053 ","  38,626 ","  37,509 ","  36,730 ","  36,643 ","  36,384 "
Total,Portage Park,"  64,203 ","  66,357 ","  64,736 ","  65,925 ","  63,608 ","  57,349 ","  56,513 ","  65,340 ","  64,124 ","  63,619 ","  63,594 ","  64,427 ","  64,846 ","  64,523 ","64,313"
Asian,Portage Park,,,,,  169 , N/A ,"  1,594 ","  2,467 ","  2,972 ","  2,715 ","  2,461 ","  2,866 ","  2,918 ","  2,946 ","3,260"
Black or African-American,Portage Park,  9 ,  8 ,  39 ,  17 ,  21 ,  47 ,  146 ,  336 ,  856 ,  811 ,  757 ,  827 ,  812 ,  863 ,901
Persons of Spanish Language*,Portage Park,,,,,  670 ,"  1,486 ","  4,419 ","  15,022 ","  24,861 ","  26,388 ","  27,363 ","  26,980 ","  27,108 ","  27,576 ","26,216"
White,Portage Park,"  64,181 ","  66,330 ","  64,660 ","  65,841 ","  63,352 ","  54,812 ","  50,244 ","  45,418 ","  34,329 ","  32,429 ","  31,867 ","  32,755 ","  32,643 ","  31,778 ","32,329"
Percent Black,Portage Park,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  1 ,  1 ,  1 ,  1 ,  1 ,  1 ,  1 ,  1 
Nonwhite, Portage Park ,  22 ,  27 ,  76 ,  84 ,  256 ,"  2,537 ","  6,269 ","  19,922 ","  29,795 ","  31,190 ","  31,727 ","  31,672 ","  32,203 ","  32,745 ","  31,984 "
Total,Irving Park,"  66,783 ","  66,553 ","  64,881 ","  58,298 ","  54,900 ","  49,489 ","  50,159 ","  58,643 ","  53,359 ","  56,513 ","  56,841 ","  56,490 ","  56,520 ","  55,417 ","54,606"
Asian,Irving Park,,,,,  345 , N/A ,"  4,093 ","  4,362 ","  3,736 ","  4,004 ","  3,984 ","  4,287 ","  4,641 ","  4,579 ","4,786"
Black or African-American,Irving Park,  37 ,  14 ,  30 ,  20 ,  27 ,  59 ,  409 ,"  1,121 ","  1,736 ","  1,668 ","  1,536 ","  1,646 ","  1,271 ","  1,543 ","1,479"
Persons of Spanish Language*,Irving Park,,,,,"  1,596 ","  4,267 ","  12,222 ","  25,401 ","  24,332 ","  25,449 ","  26,387 ","  26,558 ","  26,359 ","  24,733 ","23,704"
White,Irving Park,"  66,708 ","  66,509 ","  64,755 ","  58,125 ","  54,432 ","  42,173 ","  33,193 ","  25,912 ","  22,234 ","  24,229 ","  23,748 ","  22,492 ","  22,650 ","  22,975 ","22,786"
Percent Black,Irving Park,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  1 ,  2 ,  3 ,  3 ,  3 ,  3 ,  2 ,  3 ,  3 
Nonwhite, Irving Park ,  75 ,  44 ,  126 ,  173 ,  468 ,"  7,316 ","  16,966 ","  32,731 ","  31,125 ","  32,284 ","  33,093 ","  33,998 ","  33,870 ","  32,442 ","  31,820 "
Total,Dunning,"  19,659 ","  23,328 ","  32,231 ","  41,626 ","  43,856 ","  37,860 ","  36,957 ","  42,164 ","  41,932 ","  42,115 ","  42,405 ","  43,053 ","  43,025 ","  43,444 ","43,689"
Asian,Dunning,,,,,  78 , N/A ,  839 ,"  1,315 ","  1,587 ","  1,617 ","  1,471 ","  1,583 ","  1,800 ","  1,755 ","2,202"
Black or African-American,Dunning,  3 ,  6 ,  7 ,  2 ,  311 ,  182 ,  158 ,  234 ,  308 ,  426 ,  463 ,  694 ,"  1,035 ",  895 ,807
Persons of Spanish Language*,Dunning,,,,,  345 ,  613 ,"  1,882 ","  5,441 ","  9,997 ","  9,706 ","  10,439 ","  11,255 ","  11,448 ","  12,559 ","12,245"
White,Dunning,"  19,648 ","  23,306 ","  32,217 ","  41,560 ","  43,449 ","  36,704 ","  34,038 ","  34,394 ","  29,512 ","  29,975 ","  29,642 ","  29,060 ","  28,340 ","  27,862 ","28,165"
Percent Black,Dunning,  0 ,  0 ,  0 ,  0 ,  1 ,  0 ,  0 ,  1 ,  1 ,  1 ,  1 ,  2 ,  2 ,  2 ,  2 
Nonwhite, Dunning ,  11 ,  22 ,  14 ,  66 ,  407 ,"  1,156 ","  2,919 ","  7,770 ","  12,420 ","  12,140 ","  12,763 ","  13,993 ","  14,685 ","  15,582 ","  15,524 "
Total,Montclare,"  8,500 ","  9,693 ","  11,166 ","  11,802 ","  11,675 ","  10,793 ","  10,573 ","  12,646 ","  13,426 ","  12,401 ","  12,283 ","  12,840 ","  12,973 ","  12,992 ","13,784"
Asian,Montclare,,,,,  15 , N/A ,  231 ,  337 ,  377 ,  552 ,  912 ,  740 ,  611 ,  519 ,444
Black or African-American,Montclare,  5 ,  2 ,  4 ,  1 ,  1 , - ,  36 ,  264 ,  598 ,  524 ,  519 ,  464 ,  575 ,  582 ,518
Persons of Spanish Language*,Montclare,,,,,  81 ,  179 ,"  1,199 ","  4,865 ","  7,248 ","  6,408 ","  6,324 ","  7,481 ","  8,092 ","  7,585 ","8,064"
White,Montclare,"  8,493 ","  9,686 ","  11,158 ","  11,785 ","  11,642 ","  10,516 ","  9,086 ","  6,892 ","  5,041 ","  4,780 ","  4,387 ","  4,051 ","  3,615 ","  4,032 ","4,518"
Percent Black,Montclare,  0 ,  0 ,  0 ,  0 ,  0 ,,  0 ,  2 ,  4 ,  4 ,  4 ,  4 ,  4 ,  4 ,  4 
Nonwhite, Montclare ,  7 ,  7 ,  8 ,  17 ,  33 ,  277 ,"  1,487 ","  5,754 ","  8,385 ","  7,621 ","  7,896 ","  8,789 ","  9,358 ","  8,960 ","  9,266 "
Total,Belmont Cragin,"  60,221 ","  63,302 ","  63,546 ","  60,883 ","  57,399 ","  53,371 ","  56,787 ","  78,144 ","  78,743 ","  77,885 ","  78,279 ","  79,069 ","  79,210 ","  78,155 ","79,956"
Asian,Belmont Cragin,,,,,  102 , N/A ,"  1,768 ","  1,989 ","  1,537 ",  993 ,  938 ,"  1,273 ","  1,187 ","  1,336 ","1,566"
Black or African-American,Belmont Cragin,  4 ,  4 ,  59 ,  3 ,  10 ,  43 ,  564 ,"  2,000 ","  2,493 ","  3,822 ","  3,323 ","  2,804 ","  2,485 ","  2,196 ","2,103"
Persons of Spanish Language*,Belmont Cragin,,,,,  666 ,"  3,072 ","  17,066 ","  50,881 ","  62,101 ","  59,975 ","  61,516 ","  62,790 ","  63,377 ","  62,968 ","64,806"
White,Belmont Cragin,"  60,177 ","  63,282 ","  63,471 ","  60,838 ","  57,221 ","  49,212 ","  37,265 ","  21,881 ","  11,959 ","  11,897 ","  11,658 ","  11,249 ","  11,298 ","  10,879 ","10,762"
